Channel_group,course,lead_id,Lead_type,lead_date,graduation_year,amount_paid,paid_at
A,Java,"1,42,649",ABC,17-05-2024 17:53,2008,,
A,Java,"41,63,228",XYZ,25-05-2024 15:23,2009,,
B,Java,"41,76,457",EFG,06-05-2024 10:12,2000,,
A,Java,"1,36,989",ABC,16-05-2024 12:31,2009,,
C,Java,"1,40,085",ABC,01-05-2024 20:35,2002,,
A,Java,"1,43,316",ABC,22-05-2024 05:31,2008,,
A,Java,"1,35,877",ABC,22-05-2024 13:45,2007,,
D,Java,"1,39,785",ABC,21-05-2024 02:35,2022,,
D,Java,"1,37,267",ABC,26-05-2024 17:21,2017,,
A,Java,"42,01,876",EFG,15-05-2024 11:20,2000,,
B,Java,"41,98,658",EFG,10-05-2024 02:55,2004,48402,13-05-2024 02:55
A,Java,"1,40,107",ABC,06-05-2024 12:32,2005,,
A,Java,"42,08,767",EFG,03-05-2024 06:49,2010,,
E,Java,"42,02,849",XYZ,11-05-2024 06:43,2020,,
F,Java,"1,36,151",EFG,03-05-2024 22:53,2018,,
D,Java,"1,36,352",ABC,23-05-2024 14:48,2007,,
A,Java,"1,40,779",ABC,10-05-2024 10:47,2008,,
E,Java,"41,77,683",EFG,16-05-2024 08:46,2029,,
G,Java,"42,09,215",EFG,08-05-2024 01:26,2008,,
A,Java,"41,64,184",XYZ,29-05-2024 11:22,2007,,
F,Java,"1,42,215",EFG,14-05-2024 16:50,2008,,
H,Java,"41,71,815",XYZ,02-05-2024 09:23,2023,,
A,Java,"1,39,175",ABC,26-05-2024 05:31,2008,,
A,Java,"42,09,922",XYZ,26-05-2024 00:53,2030,,
A,Java,"41,80,565",EFG,25-05-2024 20:55,2029,48402,29-05-2024 20:55
D,Java,"1,36,298",ABC,23-05-2024 07:50,2010,,
A,Java,"41,85,873",EFG,11-05-2024 10:48,2030,,
A,Java,"41,74,439",EFG,07-05-2024 12:09,2030,48402,26-05-2024 12:09
C,Java,"1,42,632",ABC,01-05-2024 03:44,2004,,
A,Java,"1,36,241",ABC,19-05-2024 06:17,2001,,
C,Java,"41,77,297",EFG,05-05-2024 00:26,2027,48402,17-05-2024 00:26
H,Java,"1,39,072",ABC,16-05-2024 21:56,2008,,
A,Java,"1,42,391",ABC,17-05-2024 14:28,2023,,
A,Java,"41,79,456",XYZ,14-05-2024 08:32,2003,,
A,Java,"42,03,888",XYZ,10-05-2024 23:44,2013,,
E,Java,"1,38,753",ABC,23-05-2024 07:15,2021,,
A,Java,"1,42,057",ABC,16-05-2024 03:08,2009,48402,19-05-2024 03:08
A,Java,"41,80,358",XYZ,10-05-2024 20:11,2008,,
D,Java,"1,42,894",ABC,16-05-2024 02:02,2008,,
F,Java,"1,42,909",EFG,19-05-2024 10:51,2018,,
F,Java,"1,42,918",EFG,13-05-2024 05:26,2018,,
A,Java,"41,84,267",XYZ,01-05-2024 01:07,2025,48402,02-05-2024 01:07
A,Java,"1,43,096",ABC,10-05-2024 18:15,2005,,
A,Java,"1,43,158",ABC,06-05-2024 08:19,2012,,
A,Java,"1,43,206",ABC,03-05-2024 23:18,2013,,
E,Java,"1,43,229",ABC,03-05-2024 08:04,2009,,
F,Java,"1,43,249",EFG,06-05-2024 08:12,2008,,
F,Java,"1,43,350",EFG,27-05-2024 21:27,2029,,
F,Java,"1,43,359",EFG,05-05-2024 07:07,2016,,
F,Java,"1,43,406",EFG,09-05-2024 14:25,2030,,
F,Java,"1,43,071",EFG,19-05-2024 20:33,2013,,
H,Java,"1,43,236",ABC,20-05-2024 17:35,2014,,
D,Java,"1,43,289",ABC,10-05-2024 15:31,2014,,
A,Java,"1,43,329",ABC,09-05-2024 01:49,2011,,
D,Java,"1,43,355",ABC,20-05-2024 15:17,2019,,
F,Java,"1,43,366",EFG,24-05-2024 13:09,2001,,
E,Java,"41,74,776",XYZ,25-05-2024 23:21,2021,,
A,Java,"1,42,595",ABC,09-05-2024 06:54,2029,,
F,Java,"1,43,250",EFG,06-05-2024 06:37,2018,,
F,Java,"1,43,376",EFG,09-05-2024 13:31,2012,,
F,Java,"1,43,424",EFG,03-05-2024 00:31,2004,,
G,Java,"1,42,956",ABC,11-05-2024 00:12,2024,,
A,Java,"1,42,977",ABC,23-05-2024 20:58,2014,,
C,Java,"1,43,034",ABC,18-05-2024 13:51,2022,,
